Driver_ID	Distance_Feature	Speeding_Feature
3423311935	71.24	28.0
3423313212	52.53	25.0
3423313724	64.54	27.0
3423311373	55.69	22.0
3423310999	54.58	25.0
3423313857	41.91	10.0
3423312432	58.64	20.0
3423311434	52.02	8.0
3423311328	31.25	34.0
3423312488	44.31	19.0
3423311254	49.35	40.0
3423312943	58.07	45.0
3423312536	44.22	22.0
3423311542	55.73	19.0
3423312176	46.63	43.0
3423314176	52.97	32.0
3423314202	46.25	35.0
3423311346	51.55	27.0
3423310666	57.05	26.0
3423313527	58.45	30.0
3423312182	43.42	23.0
3423313590	55.68	37.0
3423312268	55.15	18.0
3423314255	43.84	22.0
3423311976	59.26	32.0
3423312669	37.14	41.0
3423310697	64.3	29.0
3423312113	45.75	16.0
3423313343	45.97	23.0
3423311431	56.04	39.0
3423310755	33.64	45.0
3423311821	41.67	33.0
3423314359	50.68	39.0
3423313106	54.22	35.0
3423310754	56.2	29.0
3423310524	46.16	41.0
3423311780	50.22	24.0
3423312156	49.66	33.0
3423312916	38.61	37.0
3423310588	55.28	36.0
3423312995	57.87	41.0
3423313389	61.69	12.0
3423311369	37.41	21.0
3423311408	53.83	32.0
3423311598	62.98	22.0
3423312047	46.97	13.0
3423312322	58.03	24.0
3423313247	59.87	36.0
3423310944	81.34	31.0
3423312404	48.56	26.0
3423313738	17.66	23.0
3423311461	46.01	21.0
3423313866	45.34	26.0
3423312074	39.64	31.0
3423312444	51.22	36.0
3423311834	36.21	31.0
3423311527	47.32	55.0
3423310476	54.87	27.0
3423310548	58.97	6.0
3423311011	57.3	42.0
3423310633	59.94	32.0
3423310595	61.72	25.0
3423312757	53.19	23.0
3423313776	35.13	38.0
3423312067	48.47	20.0
3423312235	51.17	43.0
3423310893	42.14	39.0
3423314121	54.31	35.0
3423313750	48.93	32.0
3423312776	53.51	44.0
3423312927	51.72	24.0
3423310765	49.86	10.0
3423311457	49.2	41.0
3423310678	60.2	39.0
3423312564	54.06	20.0
3423313058	72.91	30.0
3423310803	61.92	40.0
3423312166	44.2	24.0
3423312608	60.75	39.0
3423310646	68.36	37.0
3423314440	56.39	20.0
3423312301	38.19	15.0
3423311400	66.19	27.0
3423313288	58.2	17.0
3423314357	47.55	22.0
3423311015	37.62	16.0
3423312270	17.81	26.0
3423313457	31.25	29.0
3423311768	61.0	41.0
3423314289	40.98	33.0
3423310618	53.69	24.0
3423311628	51.46	9.0
3423313173	64.57	29.0
3423310552	53.79	23.0
3423314153	64.28	34.0
3423313814	38.41	24.0
3423312466	58.89	42.0
3423314103	44.17	33.0
3423311257	50.41	43.0
3423311814	63.63	28.0
3423311017	45.78	24.0
3423311127	55.61	20.0
3423311066	67.23	5.0
3423313316	49.69	38.0
3423313648	54.6	30.0
3423313558	40.94	59.0
3423313353	43.84	36.0
3423312285	56.36	19.0
3423310853	69.53	23.0
3423313991	51.48	19.0
3423312791	52.93	41.0
3423311030	55.52	8.0
3423310575	52.14	23.0
3423311959	62.86	21.0
3423314029	37.53	33.0
3423313843	63.47	25.0
3423310628	62.11	33.0
3423311869	43.52	25.0
3423312133	47.97	27.0
3423314085	42.27	37.0
3423310504	56.05	30.0
3423311462	62.08	37.0
3423310974	35.25	53.0
3423311980	39.81	25.0
3423312931	60.27	33.0
3423313867	53.41	22.0
3423313838	56.28	27.0
3423312956	53.31	25.0
3423312985	55.24	30.0
3423311863	44.97	29.0
3423313131	40.3	43.0
3423313166	47.18	42.0
3423313841	46.4	34.0
3423312477	35.11	15.0
3423313132	54.33	38.0
3423311934	54.59	64.0
3423311470	61.67	50.0
3423314234	52.39	19.0
3423313633	52.37	6.0
3423312165	40.84	25.0
3423314381	27.42	27.0
3423312732	44.79	31.0
3423312525	59.84	37.0
3423313793	36.0	45.0
3423313029	47.64	10.0
3423313920	51.85	37.0
3423311655	59.73	15.0
3423311576	42.96	37.0
3423313408	51.84	27.0
3423313342	59.62	23.0
3423312729	58.82	30.0
3423311987	50.93	30.0
3423313012	41.35	23.0
3423310573	24.58	45.0
3423311451	57.74	22.0
3423313032	38.14	33.0
3423312160	51.82	20.0
3423312397	41.37	17.0
3423311095	55.01	24.0
3423312803	64.56	53.0
3423311951	46.09	35.0
3423313818	57.81	20.0
3423311313	46.31	23.0
3423311389	66.62	37.0
3423312703	42.89	17.0
3423314199	40.82	23.0
3423312834	50.55	41.0
3423312795	40.43	40.0
3423312077	53.36	25.0
3423314379	44.83	27.0
3423310461	35.87	35.0
3423312709	46.95	23.0
3423312808	47.75	20.0
3423311713	57.12	26.0
3423312819	38.03	43.0
3423314401	54.31	45.0
3423311992	50.29	39.0
3423311164	33.6	24.0
3423311785	45.13	44.0
3423310769	31.68	31.0
3423310596	72.36	4.0
3423310503	48.43	55.0
3423311126	44.48	36.0
3423313487	56.54	20.0
3423314331	54.11	50.0
3423313472	49.51	29.0
3423312200	50.66	36.0
3423313015	61.82	23.0
3423312340	50.45	15.0
3423313441	67.7	43.0
3423312358	41.61	12.0
3423313702	39.63	31.0
3423311137	36.08	31.0
3423313567	45.18	27.0
3423313538	49.33	28.0
3423312814	48.66	45.0
3423310890	53.81	25.0
3423312595	35.57	44.0
3423311887	48.83	39.0
3423314123	69.14	40.0
3423312427	60.75	59.0
3423310735	52.01	39.0
3423312257	47.88	45.0
3423314416	40.3	30.0
3423311310	48.52	30.0
3423311848	55.06	37.0
3423311622	48.45	28.0
3423311051	58.65	40.0
3423313971	69.29	21.0
3423314179	51.7	21.0
3423312887	69.95	18.0
3423312583	53.04	37.0
3423312990	47.97	27.0
3423311820	64.01	26.0
3423314018	61.76	23.0
3423313775	49.98	28.0
3423310869	81.96	27.0
3423313262	56.56	25.0
3423311532	51.69	30.0
3423313252	54.83	40.0
3423311201	54.97	39.0
3423313632	44.07	27.0
3423311574	45.95	40.0
3423311102	42.24	22.0
3423310805	43.52	49.0
3423313805	51.33	31.0
3423311177	56.68	55.0
3423313477	51.06	24.0
3423310780	41.95	28.0
3423313713	53.56	27.0
3423313597	47.86	45.0
3423314406	43.74	34.0
3423312012	41.22	39.0
3423312915	45.82	42.0
3423312481	44.74	25.0
3423313911	53.88	30.0
3423311105	44.4	29.0
3423312215	59.01	35.0
3423311909	53.27	19.0
3423314269	45.62	25.0
3423313837	53.16	53.0
3423314291	50.91	51.0
3423311881	33.53	42.0
3423312020	46.92	33.0
3423312610	59.24	35.0
3423314333	48.37	32.0
3423311877	50.26	21.0
3423310736	38.14	30.0
3423312193	63.42	26.0
3423313751	57.46	14.0
3423313882	63.79	33.0
3423312229	58.13	30.0
3423314081	56.35	41.0
3423311721	52.95	3.0
3423312718	55.65	27.0
3423314210	29.44	34.0
3423314427	49.58	39.0
3423313361	31.3	33.0
3423311301	43.48	29.0
3423313773	48.94	34.0
3423312093	43.93	32.0
3423312612	53.83	36.0
3423312474	53.69	21.0
3423311693	60.33	8.0
3423311450	40.97	42.0
3423311351	49.29	21.0
3423314032	56.06	34.0
3423311710	66.16	32.0
3423310578	32.61	23.0
3423310713	37.37	25.0
3423311812	46.04	38.0
3423314051	57.17	33.0
3423313543	41.06	31.0
3423311594	47.21	36.0
3423311290	55.74	44.0
3423314242	56.34	25.0
3423311609	61.53	11.0
3423311665	61.4	38.0
3423314223	59.03	29.0
3423312735	26.76	22.0
3423311754	48.24	34.0
3423311799	50.84	33.0
3423314167	64.25	28.0
3423312455	23.06	15.0
3423313298	47.25	23.0
3423313402	59.19	33.0
3423313266	32.71	17.0
3423312626	48.87	25.0
3423313671	58.68	24.0
3423313459	51.16	25.0
3423311131	49.48	34.0
3423313120	16.05	36.0
3423312886	53.49	51.0
3423312024	57.19	19.0
3423312416	49.38	37.0
3423311082	38.82	16.0
3423311625	49.88	37.0
3423311466	48.81	30.0
3423313275	58.86	42.0
3423313213	45.22	39.0
3423312196	49.25	25.0
3423312697	71.53	49.0
3423312946	49.41	38.0
3423312130	63.19	21.0
3423310680	48.68	22.0
3423313703	50.11	34.0
3423313203	43.56	24.0
3423312854	49.36	23.0
3423312458	23.03	21.0
3423313083	36.14	30.0
3423311556	37.48	26.0
3423313124	46.35	35.0
3423313003	41.54	27.0
3423312311	66.05	36.0
3423312456	47.09	27.0
3423310609	33.84	35.0
3423313087	41.45	37.0
3423312821	56.09	9.0
3423311525	54.66	34.0
3423310932	53.23	47.0
3423314232	53.51	33.0
3423311442	48.56	37.0
3423310670	35.91	30.0
3423311052	58.04	28.0
3423312870	37.16	19.0
3423311497	42.45	16.0
3423310837	62.65	41.0
3423312539	51.42	35.0
3423311940	46.31	22.0
3423312604	51.36	33.0
3423313041	63.62	41.0
3423312818	56.54	39.0
3423310492	48.58	36.0
3423311128	30.37	37.0
3423311741	51.75	37.0
3423311817	61.68	24.0
3423314168	56.54	33.0
3423313101	41.22	13.0
3423314057	46.08	35.0
3423312013	53.21	39.0
3423311070	57.95	21.0
3423311958	53.4	45.0
3423313795	50.32	40.0
3423311685	62.06	37.0
3423313876	32.9	36.0
3423312977	43.48	15.0
3423312590	47.76	25.0
3423313054	41.61	4.0
3423313907	28.72	37.0
3423311586	53.37	40.0
3423313209	37.81	34.0
3423310759	48.7	46.0
3423314418	53.23	40.0
3423312007	43.47	33.0
3423311892	64.55	30.0
3423314120	59.34	38.0
3423311246	29.92	49.0
3423312988	45.67	39.0
3423314297	44.99	36.0
3423311208	51.07	13.0
3423311823	57.87	38.0
3423312106	57.9	34.0
3423314420	45.41	32.0
3423311517	66.97	33.0
3423311640	49.37	40.0
3423311320	49.54	21.0
3423312185	51.73	61.0
3423312896	29.68	30.0
3423314019	66.12	38.0
3423311839	52.68	30.0
3423311624	50.32	46.0
3423312883	63.2	40.0
3423311772	45.12	25.0
3423313050	38.69	22.0
3423312274	50.77	32.0
3423311429	48.0	23.0
3423310739	55.36	47.0
3423311395	53.11	48.0
3423311354	38.51	28.0
3423311393	38.96	21.0
3423312817	27.4	30.0
3423312479	34.95	35.0
3423310481	68.86	31.0
3423311405	60.4	28.0
3423311690	37.33	38.0
3423313373	59.63	24.0
3423311282	33.92	43.0
3423312839	43.98	6.0
3423314319	53.74	31.0
3423313884	45.51	33.0
3423313972	55.09	19.0
3423312249	68.87	18.0
3423312335	58.44	19.0
3423311494	43.75	19.0
3423312701	47.07	33.0
3423313515	47.89	28.0
3423314282	53.3	41.0
3423312619	57.02	37.0
3423312412	43.44	31.0
3423314324	38.49	21.0
3423311966	61.08	24.0
3423312519	62.52	41.0
3423311365	60.04	34.0
3423311004	53.63	20.0
3423311801	44.96	46.0
3423311838	43.37	50.0
3423311337	31.88	30.0
3423311381	41.01	37.0
3423311788	53.72	13.0
3423312168	48.05	18.0
3423311734	63.38	41.0
3423313610	55.92	22.0
3423313259	51.54	22.0
3423313763	39.27	34.0
3423313915	59.22	14.0
3423313443	57.77	14.0
3423314388	60.84	9.0
3423311771	63.59	21.0
3423312064	53.12	30.0
3423313947	58.89	9.0
3423311377	61.69	36.0
3423311879	49.56	24.0
3423313273	45.44	29.0
3423313260	50.28	21.0
3423312737	47.42	35.0
3423313200	45.8	28.0
3423313121	38.07	23.0
3423311258	44.13	24.0
3423314365	51.91	59.0
3423310478	51.7	36.0
3423310833	39.66	19.0
3423313185	49.73	26.0
3423312421	52.86	24.0
3423311571	55.81	29.0
3423312578	42.86	24.0
3423312982	52.31	25.0
3423314281	62.35	28.0
3423312574	32.9	16.0
3423313596	48.51	23.0
3423312692	45.33	12.0
3423313089	49.09	12.0
3423314364	37.89	14.0
3423312830	67.15	17.0
3423314422	48.01	32.0
3423314257	45.44	28.0
3423312259	52.54	22.0
3423310550	59.23	40.0
3423312359	31.85	37.0
3423313930	49.4	54.0
3423313282	51.11	25.0
3423312938	64.34	47.0
3423311073	58.32	42.0
3423311930	46.99	13.0
3423313641	65.75	34.0
3423311511	62.34	12.0
3423313352	51.33	38.0
3423313889	50.0	27.0
3423313542	63.06	27.0
3423312858	64.66	24.0
3423314389	54.99	36.0
3423313004	40.95	35.0
3423311375	52.29	40.0
3423311023	40.47	30.0
3423310823	59.56	42.0
3423312540	58.0	46.0
3423313927	55.12	34.0
3423312262	59.21	26.0
3423312663	65.54	39.0
3423313830	55.64	24.0
3423313165	62.4	40.0
3423313852	51.01	22.0
3423311996	48.83	24.0
3423312388	57.58	35.0
3423311174	47.21	34.0
3423313624	49.26	26.0
3423312679	59.51	30.0
3423312640	46.12	33.0
3423311984	51.7	37.0
3423312793	85.36	17.0
3423311513	40.04	35.0
3423312297	34.77	5.0
3423310599	45.1	4.0
3423311331	56.0	8.0
3423312797	38.14	5.0
3423310994	53.39	5.0
3423314011	50.55	7.0
3423311899	48.8	6.0
3423312465	55.99	3.0
3423312364	48.37	4.0
3423310629	55.19	6.0
3423312374	51.51	5.0
3423311872	43.29	9.0
3423311133	44.96	7.0
3423314224	43.45	5.0
3423311001	48.92	8.0
3423312057	52.9	6.0
3423310758	50.99	5.0
3423311732	45.08	5.0
3423311038	53.36	2.0
3423312266	53.27	4.0
3423313753	51.93	6.0
3423313741	64.96	6.0
3423313179	49.22	5.0
3423313355	59.82	7.0
3423312895	45.24	4.0
3423314338	60.4	7.0
3423312533	35.14	5.0
3423312437	43.86	6.0
3423313894	57.49	6.0
3423310963	47.98	7.0
3423311552	48.33	7.0
3423310655	52.42	3.0
3423313603	40.59	6.0
3423310676	42.54	3.0
3423310888	39.43	6.0
3423311109	67.04	4.0
3423313105	32.58	5.0
3423310977	41.75	9.0
3423313010	55.95	4.0
3423312400	49.61	4.0
3423313807	43.04	8.0
3423312684	33.5	5.0
3423312188	47.25	6.0
3423313285	47.47	7.0
3423310830	29.47	8.0
3423310541	52.55	2.0
3423313828	52.6	3.0
3423310737	58.98	6.0
3423310778	44.94	4.0
3423311521	59.72	7.0
3423314275	57.38	5.0
3423310783	46.76	6.0
3423311087	35.58	5.0
3423312845	42.55	10.0
3423313480	46.44	5.0
3423312741	29.66	1.0
3423310820	30.77	8.0
3423310614	65.73	8.0
3423311591	73.5	6.0
3423313420	41.94	3.0
3423313854	38.2	6.0
3423313323	49.47	4.0
3423312841	42.9	6.0
3423311146	44.02	4.0
3423311855	74.03	6.0
3423313450	41.73	7.0
3423313376	63.6	4.0
3423311989	59.71	4.0
3423311621	51.75	4.0
3423312387	49.68	5.0
3423311702	43.6	1.0
3423311158	60.76	6.0
3423312490	44.84	2.0
3423313181	53.99	4.0
3423312014	46.74	4.0
3423311633	48.99	7.0
3423311928	56.28	4.0
3423312069	49.19	3.0
3423312219	51.3	5.0
3423312360	62.3	6.0
3423312190	64.5	5.0
3423314203	43.31	3.0
3423311618	50.87	4.0
3423314159	33.18	1.0
3423313130	60.07	2.0
3423312497	47.48	2.0
3423311271	38.98	5.0
3423314265	61.65	4.0
3423313548	60.52	9.0
3423312569	50.87	4.0
3423312260	40.61	4.0
3423313278	61.48	3.0
3423310549	50.18	6.0
3423311544	50.89	10.0
3423313908	51.97	4.0
3423312011	52.07	5.0
3423310929	31.06	3.0
3423311108	52.44	6.0
3423314372	35.84	9.0
3423311332	52.66	7.0
3423312722	50.39	4.0
3423313104	54.05	1.0
3423312214	25.78	3.0
3423312499	51.53	8.0
3423312406	36.51	7.0
3423313492	48.2	6.0
3423312460	47.23	5.0
3423313299	60.59	6.0
3423311261	59.46	8.0
3423311635	54.7	4.0
3423313994	45.16	4.0
3423313870	44.92	3.0
3423310781	53.44	5.0
3423313895	32.54	9.0
3423313229	44.51	5.0
3423310465	62.26	6.0
3423313134	39.05	3.0
3423312454	37.68	4.0
3423310770	42.33	10.0
3423314185	66.06	4.0
3423312672	32.94	7.0
3423310554	39.67	4.0
3423312348	63.08	9.0
3423310824	73.78	4.0
3423312602	45.24	5.0
3423312717	59.71	9.0
3423311747	39.79	6.0
3423313025	35.93	6.0
3423313790	49.1	5.0
3423312402	50.22	8.0
3423312144	68.63	8.0
3423312289	62.03	6.0
3423313758	55.64	7.0
3423313921	55.4	8.0
3423310454	52.28	8.0
3423312081	39.84	1.0
3423310510	35.52	5.0
3423314262	48.79	3.0
3423313860	70.7	2.0
3423312516	61.92	4.0
3423310785	59.86	4.0
3423314276	68.37	5.0
3423312309	47.65	4.0
3423313959	46.7	0.0
3423311509	31.24	1.0
3423313448	49.47	10.0
3423313335	50.58	8.0
3423314117	38.61	6.0
3423311619	42.83	6.0
3423310706	59.72	7.0
3423311537	50.21	2.0
3423311089	38.04	7.0
3423313621	66.87	6.0
3423313346	31.07	3.0
3423311660	57.66	6.0
3423312382	50.89	5.0
3423311689	35.99	5.0
3423311423	62.2	4.0
3423313349	56.52	2.0
3423312111	63.05	1.0
3423313822	46.99	3.0
3423313537	30.45	2.0
3423312774	58.23	6.0
3423313452	37.05	5.0
3423311569	31.14	4.0
3423310482	28.91	4.0
3423310645	58.82	4.0
3423313386	34.34	3.0
3423310799	32.49	3.0
3423311807	57.76	3.0
3423314421	73.89	4.0
3423314387	38.4	8.0
3423311188	44.13	5.0
3423312263	42.26	6.0
3423312804	45.89	7.0
3423312572	62.56	8.0
3423310978	53.54	6.0
3423313497	55.4	4.0
3423310975	48.81	3.0
3423314045	51.01	7.0
3423312813	36.88	7.0
3423311114	56.42	6.0
3423313164	39.94	4.0
3423312433	38.7	8.0
3423310703	47.39	6.0
3423314355	64.67	3.0
3423311349	67.47	5.0
3423313726	49.39	6.0
3423312733	43.1	6.0
3423311774	34.03	5.0
3423311203	32.72	0.0
3423312485	60.65	5.0
3423312560	57.26	6.0
3423313976	55.1	4.0
3423313424	61.06	4.0
3423311644	38.91	4.0
3423311240	51.35	3.0
3423310854	56.87	6.0
3423313832	50.2	5.0
3423313864	55.34	6.0
3423310936	47.95	3.0
3423310470	47.47	6.0
3423312401	35.44	6.0
3423310687	31.45	8.0
3423310892	28.16	3.0
3423311490	68.57	6.0
3423312120	41.5	5.0
3423313369	53.75	8.0
3423312112	37.47	5.0
3423313878	55.63	4.0
3423310526	50.45	7.0
3423310926	51.61	3.0
3423311247	38.08	7.0
3423312367	37.26	5.0
3423314414	33.01	4.0
3423312413	45.87	6.0
3423311585	45.45	4.0
3423314004	53.15	8.0
3423312148	54.58	5.0
3423312449	53.08	2.0
3423310472	43.09	4.0
3423312356	34.46	4.0
3423313067	52.19	4.0
3423310949	55.54	5.0
3423313254	51.45	5.0
3423314300	62.7	1.0
3423312015	50.18	8.0
3423311866	53.44	6.0
3423311129	53.42	4.0
3423311808	54.52	4.0
3423311615	50.89	6.0
3423311026	64.49	9.0
3423311837	51.92	8.0
3423310750	57.49	6.0
3423314208	42.97	1.0
3423312029	43.27	4.0
3423314376	44.69	6.0
3423311646	54.16	3.0
3423312070	50.07	4.0
3423314034	48.42	5.0
3423313689	42.59	6.0
3423314221	50.69	4.0
3423312245	62.86	3.0
3423310615	51.78	2.0
3423312720	47.89	3.0
3423314111	38.05	1.0
3423311744	54.09	4.0
3423311053	38.88	4.0
3423314345	58.0	5.0
3423311390	42.04	5.0
3423312872	35.44	2.0
3423313186	43.73	8.0
3423312826	65.7	5.0
3423310695	43.3	5.0
3423312055	54.89	3.0
3423314371	54.69	6.0
3423310787	46.22	6.0
3423311333	47.7	5.0
3423313052	39.19	8.0
3423313129	57.11	3.0
3423313562	47.65	7.0
3423312213	38.13	2.0
3423312699	33.77	4.0
3423312248	54.62	6.0
3423314339	51.86	4.0
3423311512	56.75	6.0
3423314021	50.98	4.0
3423313850	46.99	6.0
3423314382	52.3	4.0
3423311510	47.64	5.0
3423311688	28.82	9.0
3423311539	53.48	2.0
3423310881	45.16	6.0
3423313868	56.73	4.0
3423310536	71.55	4.0
3423313418	32.1	2.0
3423310458	41.81	3.0
3423312494	52.98	3.0
3423310589	43.82	3.0
3423311234	40.81	3.0
3423311099	46.33	8.0
3423311380	37.48	6.0
3423313300	42.87	4.0
3423313328	54.26	5.0
3423313195	46.69	6.0
3423312836	48.46	6.0
3423310800	56.82	8.0
3423313336	48.73	4.0
3423313817	38.76	4.0
3423312065	38.23	2.0
3423313729	54.06	6.0
3423311265	42.25	9.0
3423310776	35.22	3.0
3423312079	43.64	5.0
3423314235	45.7	5.0
3423311705	45.41	6.0
3423314392	70.97	4.0
3423311696	36.19	4.0
3423311472	56.54	3.0
3423313301	44.52	1.0
3423313384	42.87	6.0
3423311703	33.86	5.0
3423311197	65.17	10.0
3423311656	42.75	4.0
3423310696	42.59	6.0
3423314437	45.15	3.0
3423311419	49.7	3.0
3423312537	55.39	2.0
3423313631	32.12	6.0
3423313117	60.07	6.0
3423313966	62.34	3.0
3423311283	75.84	3.0
3423312186	49.46	8.0
3423312963	58.15	7.0
3423314215	49.1	9.0
3423311568	45.97	4.0
3423311782	37.1	6.0
3423310664	55.74	6.0
3423311421	42.81	6.0
3423313735	53.28	5.0
3423310606	43.15	3.0
3423312350	54.53	4.0
3423312885	69.29	4.0
3423314075	42.99	4.0
3423312319	66.21	4.0
3423313840	50.94	5.0
3423311059	53.75	6.0
3423312828	45.17	5.0
3423311763	44.64	7.0
3423313655	39.62	7.0
3423312566	54.55	7.0
3423311554	53.05	4.0
3423313128	54.35	1.0
3423311830	48.64	6.0
3423313787	49.34	5.0
3423312940	46.83	2.0
3423314039	31.81	4.0
3423310512	34.46	3.0
3423314109	27.3	5.0
3423311610	53.95	3.0
3423312550	46.57	6.0
3423314273	33.36	6.0
3423313318	36.42	7.0
3423311833	65.73	5.0
3423310622	49.9	5.0
3423313486	56.31	3.0
3423313417	33.04	3.0
3423313760	48.62	10.0
3423310959	47.42	5.0
3423314026	68.57	4.0
3423312527	45.07	4.0
3423311975	56.07	7.0
3423312164	47.01	6.0
3423310547	51.53	6.0
3423310648	51.81	7.0
3423313553	66.83	6.0
3423311998	50.79	4.0
3423313444	46.33	2.0
3423312617	30.52	11.0
3423313274	41.67	1.0
3423312788	53.38	7.0
3423311815	60.45	6.0
3423311318	41.56	3.0
3423311056	28.94	4.0
3423312790	43.5	8.0
3423311187	56.31	6.0
3423312471	67.77	4.0
3423312924	41.93	2.0
3423314280	71.73	5.0
3423311852	57.04	0.0
3423314135	38.44	7.0
3423312276	55.64	5.0
3423314325	57.39	2.0
3423313592	60.07	3.0
3423313395	46.69	2.0
3423311523	46.59	3.0
3423314106	55.64	3.0
3423311452	46.09	4.0
3423313046	46.25	2.0
3423314403	61.75	8.0
3423314303	66.17	4.0
3423314233	58.07	6.0
3423311653	56.07	4.0
3423312383	49.81	6.0
3423311778	49.75	5.0
3423311916	35.17	9.0
3423312658	55.71	5.0
3423311903	49.71	4.0
3423311853	48.97	3.0
3423313111	61.79	5.0
3423312175	42.77	7.0
3423313709	47.63	8.0
3423313297	67.19	4.0
3423312072	52.03	3.0
3423314173	55.64	5.0
3423314028	44.09	5.0
3423312891	49.52	7.0
3423313045	49.78	4.0
3423312073	39.56	5.0
3423312508	50.54	8.0
3423311818	39.46	9.0
3423314430	41.69	5.0
3423312844	48.03	8.0
3423310534	37.91	5.0
3423311139	40.81	4.0
3423312170	58.1	2.0
3423311659	49.63	5.0
3423312734	59.36	7.0
3423313806	37.14	6.0
3423313066	49.41	6.0
3423313269	57.34	2.0
3423311361	46.58	7.0
3423313306	42.21	6.0
3423311548	41.14	2.0
3423313692	37.63	3.0
3423311121	60.88	5.0
3423310928	64.56	3.0
3423314099	58.97	6.0
3423313531	51.2	6.0
3423311416	52.84	3.0
3423313875	22.36	5.0
3423313812	60.75	2.0
3423314008	60.38	4.0
3423310593	64.18	1.0
3423311764	71.11	6.0
3423310521	31.35	3.0
3423312928	52.38	4.0
3423311155	54.01	4.0
3423310768	51.31	5.0
3423313122	65.89	3.0
3423313403	51.92	7.0
3423312683	57.51	5.0
3423311154	48.94	3.0
3423313363	34.86	6.0
3423310747	42.96	3.0
3423311016	38.96	4.0
3423311731	41.74	8.0
3423313375	66.37	5.0
3423311386	31.92	4.0
3423313979	52.07	6.0
3423312979	55.77	5.0
3423312246	59.03	4.0
3423311971	49.53	7.0
3423314361	56.58	7.0
3423314055	33.62	7.0
3423312698	70.55	6.0
3423311829	63.68	2.0
3423310906	61.78	9.0
3423311206	39.21	8.0
3423310546	37.13	5.0
3423312794	57.08	6.0
3423312009	24.9	8.0
3423312126	55.34	5.0
3423310634	43.47	7.0
3423314049	73.8	6.0
3423311275	58.36	10.0
3423313127	52.88	4.0
3423311694	44.65	6.0
3423313364	46.85	5.0
3423312763	55.2	7.0
3423311626	58.28	0.0
3423313314	67.36	6.0
3423312050	50.38	5.0
3423311578	56.21	1.0
3423314214	47.79	6.0
3423312244	63.18	5.0
3423314336	57.18	5.0
3423310930	58.44	6.0
3423313155	60.4	6.0
3423313175	43.94	4.0
3423310537	53.34	3.0
3423314321	42.96	3.0
3423312097	46.07	3.0
3423311414	52.09	9.0
3423311584	57.35	5.0
3423312217	72.05	7.0
3423312163	55.19	4.0
3423312061	33.32	4.0
3423314054	51.53	4.0
3423313950	52.11	5.0
3423313135	46.24	7.0
3423314444	51.59	6.0
3423312929	63.62	6.0
3423313565	59.02	5.0
3423311674	53.71	6.0
3423314304	60.37	6.0
3423310530	56.0	9.0
3423310779	58.05	5.0
3423313416	50.86	6.0
3423313880	39.44	8.0
3423313672	44.61	8.0
3423314151	54.2	10.0
3423310729	36.76	5.0
3423312719	74.83	4.0
3423313687	46.57	6.0
3423310818	50.74	4.0
3423312178	46.85	4.0
3423311060	52.01	4.0
3423311914	63.96	6.0
3423314037	68.24	2.0
3423312700	43.22	7.0
3423311825	51.73	6.0
3423314432	44.04	5.0
3423312232	53.66	6.0
3423313926	54.99	4.0
3423312127	59.09	5.0
3423312103	64.15	6.0
3423314189	28.36	7.0
3423313891	57.13	4.0
3423311456	54.29	9.0
3423311253	70.87	7.0
3423310794	46.55	5.0
3423312031	64.77	5.0
3423312407	48.84	5.0
3423312514	51.37	2.0
3423313064	75.54	7.0
